,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90s,Ast/90s,G+A/90s,G-PK/90s,G+A-PK,xG/90s,xAG/90s,xG+xAG,npxG/90s,npxG+xAG/90s,XG-Overperformance,xAG-Overperformance
12,13,Carlos Alcaraz,ARG,MF,Southampton,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,-0.1,-0.1
13,14,Carlos Alcaraz,ARG,"FW,MF",Everton,21,2002,15,7,764,8.5,2,3,5,2,0,0,4,0,1.7,1.7,1.6,3.4,19,42,21,0.24,0.35,0.59,0.24,0.59,0.2,0.19,0.4,0.2,0.4,0.3,1.4
14,15,Trent Alexander-Arnold,ENG,DF,Liverpool,25,1998,33,28,2365,26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,1.1,-1.3
15,16,Alisson,BRA,GK,Liverpool,31,1992,28,28,2508,27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,-0.6
16,17,Miguel Almirón,PAR,FW,Newcastle Utd,30,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45,-0.5,-0.3
17,18,Olabade Aluko,,DF,Leicester City,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,Edson Álvarez,MEX,MF,West Ham,26,1997,28,20,1772,19.7,0,1,1,0,0,0,9,1,0.4,0.4,0.8,1.2,24,85,18,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,-0.4,0.2
19,20,Will Alves,ENG,FW,Leicester City,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,Harry Amass,ENG,DF,Manchester Utd,17,2007,5,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9,7,23,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,-0.1,0.0
21,22,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,18,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.07,0.22,0.29,0.07,0.29,0.0,-0.1
22,23,Mathis Amougou,FRA,MF,Chelsea,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,Joachim Andersen,DEN,DF,Crystal Palace,28,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0
24,25,Joachim Andersen,DEN,DF,Fulham,28,1996,29,29,2583,28.7,0,0,0,0,0,0,6,1,1.0,1.0,0.5,1.5,16,112,2,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.04,0.05,-1.0,-0.5
25,26,Elliot Anderson,ENG,MF,Nott'ham Forest,21,2002,37,33,2728,30.3,2,6,8,2,0,0,10,0,2.1,2.1,3.3,5.4,52,143,95,0.07,0.2,0.26,0.07,0.26,0.07,0.11,0.18,0.07,0.18,-0.1,2.7
26,27,André,BRA,MF,Wolves,23,2001,33,31,2472,27.5,0,0,0,0,0,0,7,0,0.4,0.4,0.8,1.3,10,109,11,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,-0.4,-0.8
27,28,Michail Antonio,JAM,FW,West Ham,34,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,-1.2,-0.6
28,29,Antony,BRA,"DF,MF",Manchester Utd,24,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.0,0.0,0.0,0.0,0.0,0.65,0.08,0.73,0.65,0.73,-1.0,-0.1
29,30,Julian Araujo,MEX,DF,Bournemouth,22,2001,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,14,22,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,-0.1
30,31,Cameron Archer,ENG,FW,Southampton,23,2001,35,13,1441,16.0,2,0,2,2,0,1,0,0,5.7,4.9,0.5,5.4,22,14,66,0.12,0.0,0.12,0.12,0.12,0.36,0.03,0.39,0.31,0.34,-3.7,-0.5
31,32,Alphonse Areola,FRA,GK,West Ham,31,1993,26,25,2260,25.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33,Joe Aribo,NGA,"MF,DF",Southampton,28,1996,32,21,2013,22.4,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,36,75,65,0.13,0.0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,0.3,-1.6
33,34,Adam Armstrong,ENG,"FW,MF",Southampton,27,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,-1.3,0.8
34,35,Harrison Armstrong,ENG,MF,Everton,17,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.69,0.14,0.82,0.69,0.82,-0.4,-0.1
35,36,Kepa Arrizabalaga,ESP,GK,Bournemouth,29,1994,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0
36,37,Marco Asensio,ESP,MF,Aston Villa,28,1996,13,9,743,8.3,3,1,4,3,0,2,2,0,4.4,2.9,1.0,3.8,22,45,38,0.36,0.12,0.48,0.36,0.48,0.54,0.12,0.66,0.35,0.47,-1.4,0.0
37,38,Brandon Austin,ENG,GK,Tottenham,25,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26,1997,26,3,416,4.6,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,20,0.22,0.0,0.22,0.22,0.22,0.46,0.02,0.48,0.46,0.48,-1.1,-0.1
39,40,Yasin Ayari,SWE,MF,Brighton,20,2003,34,22,1965,21.8,2,1,3,2,0,0,3,0,2.4,2.4,2.3,4.8,30,75,61,0.09,0.05,0.14,0.09,0.14,0.11,0.11,0.22,0.11,0.22,-0.4,-1.3
40,41,Jordan Ayew,GHA,"FW,MF",Crystal Palace,32,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17,-0.5,0.0
41,42,Jordan Ayew,GHA,"FW,MF",Leicester City,32,1991,30,19,1638,18.2,5,0,5,4,1,1,5,0,3.2,2.4,1.1,3.5,49,46,86,0.27,0.0,0.27,0.22,0.22,0.17,0.06,0.24,0.13,0.19,1.8,-1.1
42,43,Benoît Badiashile,FRA,DF,Chelsea,23,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,44,Leon Bailey,JAM,"FW,MF",Aston Villa,26,1997,24,14,1139,12.7,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,58,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,-0.7,0.5
44,45,Carlos Baleba,CMR,MF,Brighton,20,2004,34,31,2661,29.6,3,1,4,3,0,0,8,1,3.1,3.1,1.3,4.4,43,118,29,0.1,0.03,0.14,0.1,0.14,0.1,0.05,0.15,0.1,0.15,-0.1,-0.3
45,46,Ross Barkley,ENG,MF,Aston Villa,30,1993,20,3,581,6.5,3,1,4,3,0,0,3,0,1.8,1.8,0.6,2.4,15,36,10,0.46,0.15,0.62,0.46,0.62,0.27,0.1,0.37,0.27,0.37,1.2,0.4
46,47,Harvey Barnes,ENG,FW,Newcastle Utd,26,1997,33,17,1755,19.5,9,4,13,9,0,0,0,0,7.2,7.2,4.0,11.2,93,83,192,0.46,0.21,0.67,0.46,0.67,0.37,0.2,0.57,0.37,0.57,1.8,0.0
47,48,Calvin Bassey,NGA,DF,Fulham,24,1999,35,34,3074,34.2,1,0,1,1,0,0,7,0,1.0,1.0,0.1,1.2,39,116,15,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.0,-0.1
48,49,Altay Bayındır,TUR,GK,Manchester Utd,26,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,50,Jan Bednarek,POL,DF,Southampton,28,1996,30,30,2531,28.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,60,2,0.07,0.0,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,1.3,-0.5
50,51,Armel Bella Kotchap,GER,DF,Southampton,22,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,-0.3,0.0
51,52,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26,1998,35,20,1677,18.6,2,7,9,2,0,0,3,0,1.5,1.5,3.8,5.3,52,43,89,0.11,0.38,0.48,0.11,0.48,0.08,0.2,0.29,0.08,0.29,0.5,3.2
52,53,Rodrigo Bentancur,URU,MF,Tottenham,27,1997,26,21,1645,18.3,2,0,2,2,0,0,9,0,1.3,1.3,0.4,1.7,28,100,34,0.11,0.0,0.11,0.11,0.11,0.07,0.02,0.1,0.07,0.1,0.7,-0.4
53,54,Daniel Bentley,ENG,GK,Wolves,31,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,55,Sander Berge,NOR,MF,Fulham,26,1998,31,26,2224,24.7,0,0,0,0,0,0,6,0,0.4,0.4,0.6,1.0,29,124,9,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,-0.4,-0.6
55,56,Lucas Bergvall,SWE,MF,Tottenham,18,2006,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.0,0.07,0.07,0.0,0.07,0.05,0.04,0.09,0.05,0.09,-0.7,0.4
56,57,Victor Bernth Kristiansen,DEN,DF,Leicester City,21,2002,30,29,2482,27.6,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,40,70,78,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06,-0.3,-0.4
57,58,Beto,GNB,FW,Everton,26,1998,30,15,1534,17.0,8,0,8,8,0,0,2,0,8.2,8.2,1.2,9.4,15,16,77,0.47,0.0,0.47,0.47,0.47,0.48,0.07,0.55,0.48,0.55,-0.2,-1.2
58,59,Philip Billing,DEN,MF,Bournemouth,28,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,-0.6,-1.1
59,60,Yves Bissouma,MLI,MF,Tottenham,27,1996,28,16,1408,15.6,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,75,3,0.13,0.0,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06,1.4,-0.3
60,61,Oscar Bobb,NOR,FW,Manchester City,21,2003,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.41,0.0,-0.1
61,62,Lamare Bogarde,NED,"DF,MF",Aston Villa,20,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,0.0,-0.1
